rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.338922071456909,15.095411712,1.5598210096359253,4.75796953821656
16,32,3686400,4.438205206394196,14.900776448,1.4970182180404663,4.4683455543339985
64,128,14745600,3.5629207253456117,15.019465728,1.4758265018463135,4.374649935416633
